Pais,Dorsal,Nombre,Edad,Altura_m,Posicion
Portugal,22,Diogo Costa,26,1.86,Portero
Portugal,19,Nuno Mendes,23,1.76,Defensa
Portugal,4,Ruben Dias,29,1.87,Defensa
Portugal,14,Gonçalo Inacio,24,1.85,Defensa
Portugal,2,Joao Cancelo,32,1.82,Defensa
Portugal,15,Joao Neves,21,1.74,Mediocampista
Portugal,23,Vitinha,26,1.72,Mediocampista
Portugal,8,Bruno Fernandes,31,1.79,Mediocampista
Portugal,10,Bernardo Silva,31,1.73,Mediocampista
Portugal,7,Cristiano Ronaldo,41,1.87,Delantero
Portugal,17,Rafael Leao,26,1.88,Delantero
